"Summary of the Bayesian multilevel models showing the effects of patch size, patch area/perimeter ratio, urbanization score, distance to the nearest patch, jurisdictional agency types (01 for federal, 02 for state, 03 county, 04 cross-county, 05 city, and 06 for others), distance to the patch edge, and distance to the nearest paved trail on multilevel models of forest patch diversity, structure, and complexity across the Anoka Sandplain, Big Woods, and St. Paul - Baldwin ecological subsections. The abbreviations represent Marginal R2 (Marg. R2), Conditional R2 (Cond. R2), standard error of the estimate (Est. Error), lower (l-95% CI) and upper (u-95% CI) bounds of the 95% credible interval for the estimate, model convergence diagnostic (Rhat),  effective sample size for bulk estimates (Bulk ESS), and Effective sample size for the distribution tails (Tail ESS). For detailed descriptions of predictors, see the Methods section.",,,,,,,,,,,
Response variable,Ecological subsection,Marg. R2,Cond. R2,Predictor,Estimate,Est. Error,l-95% CI,u-95% CI,Rhat,Bulk ESS,Tail ESS
,Big Woods,0.08,0.113,Intercept,67.46,0.64,66.19,68.68,1,8501,7246
,,,,patch size (m2),-0.01,0.13,-0.25,0.24,1,15029,8532
,,,,Patch area/perimeter ratio,0.02,0.3,-0.56,0.62,1,15181,9308
,,,,urbanization score,0.06,0.12,-0.19,0.3,1,12297,9247
,,,,distance to nearest patch (km),-0.22,0.1,-0.41,-0.03,1,18026,8530
,,,,agency type 2,0.6,0.95,-1.26,2.45,1,18833,9126
,,,,agency type 3,-1.01,1.66,-4.29,2.24,1,14213,9496
,,,,agency type 4,0.54,0.77,-0.97,2.06,1,9048,7878
,,,,agency type 5,0.46,0.89,-1.29,2.21,1,8760,9016
,,,,agency type 6,-2.82,2.22,-7.19,1.53,1,15368,9852
,,,,distance to patch edge (m),0.19,0.12,-0.04,0.42,1,16953,9120
,,,,distance to paved trail (m),0.07,0.29,-0.5,0.64,1,10190,8154
,St. Paul - Baldwin,0.126,0.149,Intercept,68.3,1.81,64.73,71.9,1,5560,6487
,,,,patch size (m2),-0.44,0.27,-0.97,0.1,1,9939,8304
,,,,Patch area/perimeter ratio,0.24,0.18,-0.11,0.59,1,11251,8977
,,,,urbanization score,-0.26,0.22,-0.7,0.19,1,9760,8855
,,,,distance to nearest patch (km),-0.4,0.22,-0.82,0.02,1,12100,9210
,,,,agency type 2,-1.12,1.93,-4.96,2.64,1,6432,7521
,,,,agency type 3,-1.84,1.86,-5.52,1.81,1,5744,7078
,,,,agency type 4,2.46,3.19,-3.64,8.67,1,6610,7322
,,,,agency type 5,-0.94,1.95,-4.84,2.86,1,5835,7225
,,,,agency type 6,-0.14,2.32,-4.71,4.34,1,7677,8855
,,,,distance to patch edge (m),0.34,0.16,0.03,0.65,1,17545,8989
,,,,distance to paved trail (m),0.07,0.2,-0.33,0.47,1,13794,9828
Tree height variation,Anoka Sandplain,0.134,0.243,Intercept,3.86,0.3,3.27,4.44,1,5166,6478
,,,,patch size (m2),-0.01,0.03,-0.07,0.04,1,8100,6866
,,,,Patch area/perimeter ratio,-0.02,0.02,-0.06,0.03,1,11251,9041
,,,,urbanization score,0.01,0.03,-0.04,0.07,1,11515,9129
,,,,distance to nearest patch (km),-0.01,0.03,-0.06,0.04,1,10427,8539
